Column1,mlrassoarea,projectname,im_asym,im_natsym,im_poly,im_acres,im_popu,impact_score,Recommended
42,11-WAV,"EVAL - MLRA 104 - Spillville loam, 0 to 2 percent slopes, occasionally flooded",9.29,0.09,0.08,0.08,9.19,18.71,x
92,11-WAV,"MLRA 104 - Fen Identification, Histosol Recorrelation",8.93,0.11,0.04,0.02,8.71,17.81,x
93,11-WAV,MLRA 108C - Garwin soils,7.14,0.02,0.15,0.19,7.66,15.16,x
50,11-WAV,"EVAL - MLRA 108C - Ackmore silt loam, 0 to 2 percent slopes, occasionally flooded",4.29,0.04,0.03,0.07,3.45,7.87,x
60,11-WAV,"EVAL - MLRA 108C - Lawson silt loam, 0 to 2 percent slopes, occasionally flooded",3.21,0.03,0.02,0.03,3.14,6.42,x
87,11-WAV,"EVAL - MLRA 108C - Zook silty clay loam, 0 to 2 percent slopes, occasionally flooded",3.57,0.03,0.03,0.06,2.39,6.09,x
14,11-WAV,"EVAL - MLRA 104 - Lourdes loam, 2 to 5 percent slopes",2.86,0.02,0.04,0.02,1.43,4.37,x
19,11-WAV,"EVAL - MLRA 104 - Protivin loam, 1 to 4 percent slopes",2.5,0.02,0.05,0.04,1.37,3.99,x
7,11-WAV,"EVAL - MLRA 104 - Coland clay loam, 0 to 2 percent slopes, occasionally flooded",2.14,0.02,0.02,0.05,1.62,3.85,x
47,11-WAV,"EVAL - MLRA 104 - Vesser silt loam, 0 to 2 percent slopes",2.5,0.02,0.01,0.01,1.11,3.64,x
27,11-WAV,"EVAL - MLRA 104 - Racine loam, 2 to 5 percent slopes",2.14,0.02,0.06,0.04,1.07,3.34,x
10,11-WAV,"EVAL - MLRA 104 - Cresco loam, 2 to 5 percent slopes",2.5,0.02,0.04,0.06,0.64,3.26,x
16,11-WAV,"EVAL - MLRA 104 - Lourdes loam, 5 to 9 percent slopes, moderately eroded",1.79,0.02,0.01,0,1.15,2.96,x
11,11-WAV,"EVAL - MLRA 104 - Cresco loam, 5 to 9 percent slopes",2.14,0.02,0.02,0.01,0.51,2.69,x
8,11-WAV,"EVAL - MLRA 104 - Coland silty clay loam, 0 to 2 percent slopes, occasionally flooded",1.43,0.02,0.01,0.01,1.15,2.62,x
59,11-WAV,"EVAL - MLRA 108C - Lawson-Quiver-Nodaway complex, 0 to 2 percent slopes, occasionally flooded",1.79,0,0.01,0.05,0.66,2.51,x
6,11-WAV,"EVAL - MLRA 104 - Coland-Spillville complex, channeled, 0 to 2 percent slopes",1.79,0.02,0.01,0.04,0.43,2.29,x
29,11-WAV,"EVAL - MLRA 104 - Racine loam, 5 to 9 percent slopes, moderately eroded",1.43,0.01,0.01,0.01,0.82,2.28,x
69,11-WAV,"EVAL - MLRA 108C - Olmitz loam, 2 to 5 percent slopes",1.43,0.02,0.01,0.01,0.79,2.25,x
43,11-WAV,"EVAL - MLRA 104 - Spillville loam, channeled, 0 to 2 percent slopes",1.07,0.01,0,0,1.15,2.24,x
15,11-WAV,"EVAL - MLRA 104 - Lourdes loam, 5 to 9 percent slopes",1.79,0.02,0.01,0,0.42,2.23,x
26,11-WAV,"EVAL - MLRA 104 - Racine loam, 12 to 18 percent slopes, eroded",0.71,0.01,0.01,0,1.33,2.06,x
70,11-WAV,"EVAL - MLRA 108C - Olmitz loam, 5 to 9 percent slopes",1.43,0.01,0.01,0,0.54,1.99,x
91,11-WAV,"EVAL - MLRA 108C - Zook silty clay, 0 to 2 percent slopes, occasionally flooded",1.43,0.01,0.01,0,0.5,1.95,x
34,11-WAV,"EVAL - MLRA 104 - Racine silt loam, 6 to 12 percent slopes",0.71,0.01,0.01,0.01,1.17,1.91,x
